name;slug;value;date_of_information;ranking;region
"Guatemala";"guatemala";"4.89";"2023";199;"Central America and the Caribbean"
"Uganda";"uganda";"4.87";"2023";200;"Africa"
"Macau";"macau";"4.81";"2023";201;"East and Southeast Asia"
"Anguilla";"anguilla";"4.72";"2023";202;"Central America and the Caribbean"
"Saint Martin";"saint-martin";"4.71";"2023";203;"Central America and the Caribbean"
"Honduras";"honduras";"4.69";"2023";204;"Central America and the Caribbean"
"Malawi";"malawi";"4.51";"2023";205;"Africa"
"Bolivia";"bolivia";"4.33";"2023";206;"South America"
"Algeria";"algeria";"4.33";"2023";207;"Africa"
"Egypt";"egypt";"4.32";"2023";208;"Africa"
"Marshall Islands";"marshall-islands";"4.3";"2023";209;"Australia and Oceania"
"Micronesia, Federated States of";"micronesia-federated-states-of";"4.2";"2023";210;"Australia and Oceania"
"Maldives";"maldives";"4.2";"2023";211;"South Asia"
"Singapore";"singapore";"4.15";"2023";212;"East and Southeast Asia"
"Syria";"syria";"4.07";"2023";213;"Middle East"
"Vanuatu";"vanuatu";"3.99";"2023";214;"Australia and Oceania"
"Solomon Islands";"solomon-islands";"3.95";"2023";215;"Australia and Oceania"
"Belize";"belize";"3.89";"2023";216;"Central America and the Caribbean"
"Iraq";"iraq";"3.88";"2023";217;"Middle East"
"Brunei";"brunei";"3.85";"2023";218;"East and Southeast Asia"
"Turks and Caicos Islands";"turks-and-caicos-islands";"3.52";"2023";219;"Central America and the Caribbean"
"Jordan";"jordan";"3.47";"2023";220;"Middle East"
"Saudi Arabia";"saudi-arabia";"3.45";"2023";221;"Middle East"
"Libya";"libya";"3.45";"2023";222;"Africa"
"West Bank";"west-bank";"3.38";"2023";223;"Middle East"
"Oman";"oman";"3.21";"2023";224;"Middle East"
"Gaza Strip";"gaza-strip";"2.88";"2023";225;"Middle East"
"Bahrain";"bahrain";"2.83";"2023";226;"Middle East"
"Kuwait";"kuwait";"2.27";"2023";227;"Middle East"
"United Arab Emirates";"united-arab-emirates";"1.62";"2023";228;"Middle East"
"Qatar";"qatar";"1.42";"2023";229;"Middle East"
